"id","category_id","category_l2_id","code","name","created_time","updated_time","average_in_head","is_guaranteed","is_master","cold_hot_type","remark","price","weight"
"10402008",前段,肉类,"10402008",前腿肌肉,,2025-05-12 15:27:31.857,6.0,false,false,,,0,700
"10202005",中段,软段,"10202005",带皮软中段,,2025-05-09 17:00:26.437,14.0,false,true,,,0,200
"10610009",中段,骨类,"10610009",无颈通排（冷鲜）,,2025-05-09 17:02:18.733,6.0,false,false,COLD,BOM 里面没有,0,0
"10201009",前段,硬段,"10201009",去肘前段,,2025-05-09 16:19:43.686,21.0,false,true,,,0,400
"10610001",前段,硬段,"10610001",精无颈前排,,2025-05-09 17:44:32.088,2.0,false,false,,,0,100
"10612001",中段,骨类,"10612001",有颈通排,,2025-05-09 17:02:25.702,8.5,false,false,,BOM 中是通路类别，而非正式的产品，这里是正式产品,0,0
"10606014",中段,骨类,"10606014",肋排（冷鲜）,,2025-05-09 17:02:38.827,2.0,false,false,COLD,BOM 里面没有，最接近的是大肋排,0,0
"10313005",副产,副产类,"10313005",猪腰,,2025-05-09 17:02:53.559,0.2,false,false,,BOM 中没有,0,0
"10309005",副产,副产类,"10309005",猪肝,,2025-05-09 17:03:07.650,1.2,false,false,,BOM 中没有,0,0
"10704010",中段,肉类,"10704010",带皮五花肉（精修）,,2025-05-09 16:36:08.134,9.0,false,true,,,0,0
"10607015",中段,骨类,"10607015",脊骨块(1kg),,2025-05-09 16:35:55.026,1.0,false,false,,BOM 里面没有,0,0
"10704064",中段,肉类,"10704064",带皮五花肉(精修冷鲜),,2025-05-09 16:36:15.570,8.0,false,true,COLD,,0,0
"10704061",中段,肉类,"10704061",带皮五花肉A（精修）,,2025-05-09 16:37:47.898,9.0,false,true,,,0,0
"10708001",前段,下料类,"10708001",脆骨边,,2025-05-09 17:00:04.863,0.1,false,false,,,0,300
"10704002",中段,肉类,"10704002",带皮五花肉,,2025-05-09 16:35:42.431,9.0,false,true,,,0,0
"10401020",前段,肉类,"10401020",带皮前上肉,,2025-05-09 16:45:13.457,11.0,false,true,,,0,900
"10316001",副产,副产类,"10316001",连肝肉,,2025-05-09 17:03:20.197,0.3,false,false,,BOM 中没有,0,0
"10327001",副产,副产类,"10327001",生肠,,2025-05-09 17:03:36.861,0.1,false,false,,BOM 中没有,0,0
"10301005",副产,副产类,"10301005",猪头（冷鲜）,,2025-05-09 17:05:13.979,5.0,false,false,COLD,BOM 中没有,0,0
"10301008",副产,副产类,"10301008",猪头B,,2025-05-09 17:05:26.968,5.0,false,false,,BOM 中没有,0,0
"10301003",副产,其他类,"10301003",平头,,2025-05-09 17:05:40.217,8.0,false,false,,BOM 中没有,0,0
"10310002",副产,副产类,"10310002",猪肚,,2025-05-09 17:06:00.325,0.5,false,false,,BOM 中没有,0,0
"10305001",副产,副产类,"10305001",板油,,2025-05-09 17:06:38.646,2.0,false,false,,BOM 中没有,0,0
"10318001",副产,副产类,"10318001",肺心管,,2025-05-09 17:06:58.102,0.0,false,false,,BOM 中没有,0,0
"10323001",副产,副产类,"10323001",小肚,,2025-05-09 17:12:20.078,0.0,false,false,,BOM 中没有,0,0
"10302005",副产,副产类,"10302005",预煮大肠,,2025-05-09 17:12:36.794,0.0,false,false,,BOM 中没有,0,0
"10303001",副产,副产类,"10303001",生大肠头,,2025-05-09 17:12:43.414,0.0,false,false,,BOM 中没有,0,0
"10324002",副产,副产类,"10324002",小肠头,,2025-05-09 17:14:59.568,0.0,false,false,,BOM 中没有,0,0
"10312001",副产,副产类,"10312001",猪舌,,2025-05-09 17:15:17.131,0.0,false,false,,BOM 中没有,0,0
"10304001",副产,副产类,"10304001",粉肠,,2025-05-09 17:15:32.317,0.0,false,false,,BOM 中没有,0,0
"10330001",副产,副产类,"10330001",猪肺,,2025-05-09 17:15:40.049,0.0,false,false,,BOM 中没有,0,0
"10201002",前段,软段,"10201002",带皮软前段,,2025-05-09 17:15:58.879,14.0,false,true,,,0,900
"10614001",前段,骨类,"10614001",带肉扇骨,,2025-05-09 17:16:46.957,0.8,false,false,,,0,400
"10201007",前段,软段,"10201007",去皮软前段,,2025-05-09 17:16:54.770,12.0,false,true,,,0,900
"10401019",前段,肉类,"10401019",梅肉片（0.3kg）,,2025-05-12 15:28:00.483,0.3,false,true,,BOM 里面没有,0,0
"10401034",前段,肉类,"10401034",带皮颈背肌肉,,2025-05-09 17:18:26.085,4.0,false,false,,BOM 里面没有，最接近的是颈背肌肉,0,0
"10314023",前段,其他类,"10314023",带肘前脚（燎毛）,,2025-05-14 09:44:30.808,2.0,false,false,,,0,0
"10201024",前段,硬段,"10201024",带皮去蹄前段,,2025-05-09 17:18:58.707,22.0,false,true,,,0,600
"10201012",前段,软段,"10201012",去一号肉带皮软前段,,2025-05-09 17:19:27.199,12.0,false,false,,BOM 里面没有,0,0
"10201023",前段,软段,"10201023",带皮软前段M,,2025-05-09 17:19:53.179,10.0,false,true,,,0,400
"10401002",前段,肉类,"10401002",颈背肌肉,,2025-05-09 17:20:02.263,3.0,false,false,,,0,670
"10401009",前段,肉类,"10401009",梅肉,,2025-05-12 15:28:12.493,2.5,false,true,,BOM 里面没有,0,800
"10335002",副产,副产类,"10335002",猪耳,,2025-05-09 17:20:30.780,0.0,false,false,,BOM 中没有,0,0
"10704025",中段,肉类,"10704025",去皮五花肉,,2025-05-09 16:44:55.226,7.0,false,false,,BOM 里面没有,0,0
"10202013",中段,硬段,"10202013",大中段,,2025-05-08 16:41:22.442,24.0,false,true,,,0,400
